"Week","Avg_Closing_Price"
1,1001.98464142857
2,858.134107142857
3,870.80375
4,914.227678571429
5,963.755535714286
6,1027.17464142857
7,1017.61857142857
8,1112.91392714286
9,1212.71057
10,1217.40271142857
11,1192.34642571429
12,1023.57671285714
13,1020.84085428571
14,1147.88914285714
15,1203.42628285714
16,1221.29832
17,1277.53339285714
18,1447.72999857143
19,1659.52982142857
20,1803.61946428571
21,2287.14303285714
22,2324.56160428571
23,2756.75232142857
24,2696.07982
25,2710.04499857143
26,2559.42803142857
27,2559.18375
28,2377.13624857143
29,2343.62089142857
30,2700.38053428571
31,2816.55375
32,3420.28410714286
33,4219.52803571429
34,4179.86874857143
35,4593.25071428571
36,4485.21946428571
37,3955.74857
38,3763.375
39,3982.4425
40,4332.70642714286
41,4979.38035428571
42,5705.20053571429
43,5793.775
44,6533.88535714286
45,7208.05160714286
46,6908.55553571429
47,8037.99803571429
48,9943.70839285714
49,13150.4842857143
50,16201.3426771429
51,17065.2349971429
52,14408.9542857143
53,14479.3896428571
54,14686.0208928571
55,12249.07625
56,11408.2644642857
57,10095.4360685714
58,7990.78642857143
59,9175.62392714286
60,10669.5778571429
61,10449.4833928571
62,10356.73857
63,8652.06410571429
64,8542.92464285714
65,7770.58357
66,6968.95964285714
67,7215.68732142857
68,8228.76696285714
69,9052.69749857143
70,9330.19482
71,9184.56999714286
72,8329.44839142857
73,7952.97375
74,7412.46688671429
75,7010.65320342857
76,6617.14390814286
77,6132.572559
78,6449.62496
79,6447.75280385714
80,7140.01192371429
81,8014.72396257143
82,7717.73274428571
83,6712.79319757143
84,6327.488025
85,6506.70063757143
86,6965.05668442857
87,6838.71482585714
88,6275.95158614286
89,6287.92027542857
90,6490.78528728571
91,6589.93052814286
92,6494.75157314286
93,6486.77133885714
94,6406.76652728571
95,6334.29000328571
96,6409.10159414286
97,5845.57712271429
98,4506.07200328571
99,3986.84780228571
100,3713.01620528571
101,3339.07682542857
102,3672.08306457143
103,3817.26939871429
104,3859.93175928571
105,3710.766745
106,3593.66276285714
107,3541.29578628571
108,3420.893545
109,3510.09214557143
110,3620.202383
111,3905.88392214286
112,3779.82211585714
113,3859.86038014286
114,3913.00329957143
115,3977.98129157143
116,4047.67259314286
117,5044.879055
118,5123.08467171429
119,5273.646385
120,5253.35535157143
121,5558.61704771429
122,6647.70563828571
123,7800.50276285714
124,8167.20649442857
125,8571.25271785714
126,7814.48371185714
127,8603.51513485714
128,10005.6232902857
129,11560.6618114286
130,11473.0376971429
131,11496.8105471429
132,10301.8770457143
133,9707.34180642857
134,10586.5709102857
135,11580.9828814286
136,10454.0217742857
137,10280.2149742857
138,9818.79701714286
139,10483.9522942857
140,10269.5751928571
141,10071.0937045714
142,8271.36749528571
143,8171.70686457143
144,8374.99075914286
145,8064.20563785714
146,8733.69704142857
147,9249.22545885714
148,8958.32183685714
149,8462.57578914286
150,7378.25203371429
151,7459.42191328571
152,7397.08896085714
153,7042.07072385714
154,7233.80534428571
155,7250.29567828571
